system,name,cpu_name,cpu_per_node,cpu_cores,gpu_name,gpu_per_node,memory,display_order
RIKYU,RIKYU,NVIDIA Grace,2,72,NVIDIA B200,4,960 GiB + 692.8 GiB,1
Fugaku,Fugaku,Fujitsu A64FX,1,48,-,-,32 GB,2
FugakuCN,FugakuCN,Fujitsu A64FX,1,48,-,-,32 GB,3
MiyabiG,MiyabiG,NVIDIA Grace,1,72,NVIDIA H100,1,120 GB,4
MiyabiC,MiyabiC,Intel Xeon CPU Max 9480,2,56,-,-,128 GB,5
RC_GH200,RC_GH200,NVIDIA Grace,1,72,NVIDIA H100,1,120 GB,6
RC_DGXSP,RC_DGXSP,Arm Cortex-X925 / Cortex-A725,1,20,NVIDIA GB10,1,128 GB,7
RC_GENOA,RC_GENOA,AMD EPYC 9684X,2,96,-,-,768 GB,8
RC_FX700,RC_FX700,Fujitsu A64FX,1,48,-,-,32 GB,9
GenkaiA,GenkaiA,Intel Xeon Platinum 8490H,2,60,-,-,512 GiB,10
GenkaiB,GenkaiB,Intel Xeon Platinum 8490H,2,60,NVIDIA H100,4,1024 GiB,11
GenkaiC,GenkaiC,Intel Xeon Platinum 8480+,2,56,NVIDIA H100,8,8 TiB,12
Grand_C,Grand_C,Intel Xeon Gold 6548Y+,2,32,-,-,512 GiB,13
Grand_G,Grand_G,Intel Xeon Gold 6548Y+,2,32,NVIDIA H100,4,512 GiB,14
AOBA_A,AOBA_A,NEC SX-Aurora TSUBASA VH,1,24,NEC SX-Aurora TSUBASA Type 20B VE,8,640 GB,15
AOBA_B,AOBA_B,AMD EPYC 7702,2,64,-,-,256 GB,16
AOBA_S,AOBA_S,NEC SX-Aurora TSUBASA VH,1,64,NEC SX-Aurora TSUBASA Type 30A VE,8,256 GB + 768 GB,17
Odyssey,Odyssey,Fujitsu A64FX,1,48,-,-,32 GiB,18
Aquarius,Aquarius,Intel Xeon Platinum 8360Y,2,36,NVIDIA A100,8,512 GiB,19
TSUBAME4,TSUBAME4.0,AMD EPYC 9654,2,96,NVIDIA H100,4,768 GiB,20
Camphor3,Camphor3,Intel Xeon CPU Max 9480,2,56,-,-,128 GiB,21
Pegasus,Pegasus,Intel Xeon Platinum 8468,1,48,NVIDIA H100,1,128 GiB + 2 TiB PMem,22
Sirius,Sirius (PACS12.0),AMD Instinct MI300A,4,24,AMD Instinct MI300A,4,512 GB HBM3,23
SQUID_CPU,SQUID CPU,Intel Xeon Platinum 8368,2,38,-,-,256 GB,24
SQUID_GPU,SQUID GPU,Intel Xeon Platinum 8368,2,38,NVIDIA A100,8,512 GB,25
SQUID_VECTOR,SQUID Vector,AMD EPYC 7402P,1,24,NEC SX-Aurora TSUBASA Type 20A VE,8,128 GB + 384 GB,26
OCTOPUS,OCTOPUS,Intel Xeon 6980P,2,128,-,-,768 GB,27
