system,enable,nodes,numproc_node,nthreads,elapse
AI4SS,yes,1,1,72,0:10:00
Fugaku,yes,1,4,12,0:10:00
FugakuLN,yes,1,1,1,0:10:00
FugakuCN,no,1,4,12,0:10:00
FugakuCN,no,2,4,12,0:10:00
RC_GH200,yes,1,1,72,0:10:00
RC_DGXSP,yes,1,1,20,0:10:00
RC_GENOA,yes,1,1,96,0:10:00
RC_FX700,yes,1,1,12,0:10:00
MiyabiG,yes,1,1,72,0:10:00
MiyabiC,yes,1,1,112,0:10:00
GenkaiA,yes,1,1,120,0:10:00
GenkaiB,yes,1,1,120,0:10:00
GenkaiC,yes,1,1,112,0:10:00
Grand_C,yes,1,1,64,0:10:00
Grand_G,yes,1,1,64,0:10:00
AOBA_A,yes,1,1,8,0:10:00
AOBA_S,yes,1,1,8,0:10:00
AOBA_B,yes,1,1,128,0:10:00
Odyssey,yes,1,1,12,0:10:00
Aquarius,yes,1,1,8,0:10:00
Pegasus,yes,1,1,48,00:10:00
Sirius,yes,1,1,24,0:10:00
TSUBAME4,yes,1,1,4,0:10:00
SQUID_CPU,yes,1,1,8,00:10:00
SQUID_GPU,yes,1,1,38,00:10:00
SQUID_VECTOR,yes,1,1,8,00:30:00
OCTOPUS,yes,1,1,24,00:10:00
Camphor3,yes,1,1,112,0:10:00
